modele	genre	groupes	fusionnent	echelle	format_2plus1	format_rien	sans_empileur
AWAXIS-Think-31B-nvfp4	qkv	50	50	0	0	0	0
AWAXIS-Think-31B-nvfp4	gate_up	60	60	0	0	0	0
AgentWorld-35B-A3B-Heretic-srcQ4_K_M-nvfp4	qkv	10	10	0	0	0	0
AgentWorld-35B-A3B-Heretic-srcQ4_K_M-nvfp4	gate_up	0	0	0	0	0	0
Agents-4B-kimi-bf16	qkv	8	8	0	0	0	0
Agents-4B-kimi-bf16	gate_up	32	32	0	0	0	0
Agents-A1-4B-kimi-nvfp4	qkv	8	4	0	4	0	0
Agents-A1-4B-kimi-nvfp4	gate_up	32	14	0	0	18	0
Agents-A1-4B-kimi-quotaleve-nvfp4	qkv	8	8	0	0	0	0
Agents-A1-4B-kimi-quotaleve-nvfp4	gate_up	32	32	0	0	0	0
Agents-A1-4B-kimi-temoin-nvfp4	qkv	8	4	0	4	0	0
Agents-A1-4B-kimi-temoin-nvfp4	gate_up	32	14	0	0	18	0
Cydonia-24B-srcexl3-nvfp4	qkv	40	25	0	15	0	0
Cydonia-24B-srcexl3-nvfp4	gate_up	40	28	0	0	12	0
Cydonia-Magnum-Diamond-24B-srcEXL3_6_0bpw-nvfp4	qkv	40	40	0	0	0	0
Cydonia-Magnum-Diamond-24B-srcEXL3_6_0bpw-nvfp4	gate_up	40	40	0	0	0	0
DeepSeek-Coder-V2-Lite-Instruct-nvfp4	qkv	0	0	0	0	0	0
DeepSeek-Coder-V2-Lite-Instruct-nvfp4	gate_up	1	1	0	0	0	0
DeepSeek-R1-Distill-Llama-70B-heretic-srci1_Q4_K_M-nvfp4	qkv	80	80	0	0	0	0
DeepSeek-R1-Distill-Llama-70B-heretic-srci1_Q4_K_M-nvfp4	gate_up	80	80	0	0	0	0
DeepSeek-R1-Distill-Qwen-32B-srcQ4_K_M-nvfp4	qkv	64	64	0	0	0	0
DeepSeek-R1-Distill-Qwen-32B-srcQ4_K_M-nvfp4	gate_up	64	64	0	0	0	0
Dolphin-Mistral-GLM47-24B-Venice-srcQ5_K_M-nvfp4	qkv	40	40	0	0	0	0
Dolphin-Mistral-GLM47-24B-Venice-srcQ5_K_M-nvfp4	gate_up	40	40	0	0	0	0
Falcon-H1R-7B-int8	qkv	44	23	0	21	0	0
Falcon-H1R-7B-int8	gate_up	44	24	0	0	20	0
G4-MeroMero-31B-uncensored-heretic-srcexl3_6_00bpw-nvfp4	qkv	50	28	0	22	0	0
G4-MeroMero-31B-uncensored-heretic-srcexl3_6_00bpw-nvfp4	gate_up	60	41	0	0	19	0
GLM-4.7-Flash-nvfp4	qkv	0	0	0	0	0	0
GLM-4.7-Flash-nvfp4	gate_up	1	1	0	0	0	0
GLM-4.7-Grande-Heretic-42B-srcQ4_K_M-nvfp4	qkv	0	0	0	0	0	0
GLM-4.7-Grande-Heretic-42B-srcQ4_K_M-nvfp4	gate_up	1	1	0	0	0	0
Gemma-4-Gembrain-31B-uncensored-heretic-srcEXL3_6_0bpw-nvfp4	qkv	50	28	0	22	0	0
Gemma-4-Gembrain-31B-uncensored-heretic-srcEXL3_6_0bpw-nvfp4	gate_up	60	41	0	0	19	0
Hermes-4-70B-heretic-srci1_Q4_K_M-nvfp4	qkv	80	80	0	0	0	0
Hermes-4-70B-heretic-srci1_Q4_K_M-nvfp4	gate_up	80	80	0	0	0	0
Huihui-Nex-N2-mini-abliterated-srcQ4_K_M-nvfp4	qkv	10	10	0	0	0	0
Huihui-Nex-N2-mini-abliterated-srcQ4_K_M-nvfp4	gate_up	0	0	0	0	0	0
Huihui-Qwen3.6-35B-A3B-Opus-abl-srcQ4_K_M-nvfp4	qkv	10	10	0	0	0	0
Huihui-Qwen3.6-35B-A3B-Opus-abl-srcQ4_K_M-nvfp4	gate_up	0	0	0	0	0	0
Huihui-Qwen3.6-35B-A3B-abliterated-srcQ4_K_M-nvfp4	qkv	10	10	0	0	0	0
Huihui-Qwen3.6-35B-A3B-abliterated-srcQ4_K_M-nvfp4	gate_up	0	0	0	0	0	0
Huihui-Qwen3.8-27B-abliterated-srcQ5_K-nvfp4	qkv	16	16	0	0	0	0
Huihui-Qwen3.8-27B-abliterated-srcQ5_K-nvfp4	gate_up	64	64	0	0	0	0
Jan-code-4b-srcQ4_K_M-nvfp4	qkv	36	15	0	21	0	0
Jan-code-4b-srcQ4_K_M-nvfp4	gate_up	36	20	0	0	16	0
Jan-v2-VL-high-srcQ4_K_M-nvfp4	qkv	36	15	0	21	0	0
Jan-v2-VL-high-srcQ4_K_M-nvfp4	gate_up	36	20	0	0	16	0
Jan-v2-VL-max-srcQ4_K_M-nvfp4	qkv	48	48	0	0	0	0
Jan-v2-VL-max-srcQ4_K_M-nvfp4	gate_up	0	0	0	0	0	0
Jan-v2-VL-med-srcQ4_K_M-nvfp4	qkv	36	36	0	0	0	0
Jan-v2-VL-med-srcQ4_K_M-nvfp4	gate_up	36	36	0	0	0	0
Jan-v3-4b-base-instruct-srcQ4_K_M-nvfp4	qkv	36	15	0	21	0	0
Jan-v3-4b-base-instruct-srcQ4_K_M-nvfp4	gate_up	36	20	0	0	16	0
Jan-v3.5-4B-srcQ4_K_M-nvfp4	qkv	36	15	0	21	0	0
Jan-v3.5-4B-srcQ4_K_M-nvfp4	gate_up	36	20	0	0	16	0
KAT-Coder-V2.5-Dev-srcQ4_K_M-nvfp4	qkv	10	10	0	0	0	0
KAT-Coder-V2.5-Dev-srcQ4_K_M-nvfp4	gate_up	0	0	0	0	0	0
Kimi-Linear-35B-kda-nvfp4	qkv	0	0	0	0	0	0
Kimi-Linear-35B-kda-nvfp4	gate_up	1	1	0	0	0	0
LFM2.5-8B-A1B-nvfp4	qkv	6	6	0	0	0	0
LFM2.5-8B-A1B-nvfp4	gate_up	2	0	0	0	2	0
Llama-3.3-70B-Instruct-heretic-srci1_Q4_K_M-nvfp4	qkv	80	80	0	0	0	0
Llama-3.3-70B-Instruct-heretic-srci1_Q4_K_M-nvfp4	gate_up	80	80	0	0	0	0
Mistral-Nemo-12B-Heretic-nvfp4	qkv	40	0	40	0	0	0
Mistral-Nemo-12B-Heretic-nvfp4	gate_up	40	2	38	0	0	0
NVIDIA-Nemotron-3-Nano-30B-A3B-heretic-srcQ5_K_M-nvfp4	qkv	6	6	0	0	0	0
NVIDIA-Nemotron-3-Nano-30B-A3B-heretic-srcQ5_K_M-nvfp4	gate_up	0	0	0	0	0	0
Nemo-12B-Claude-nvfp4	qkv	40	0	40	0	0	0
Nemo-12B-Claude-nvfp4	gate_up	40	1	39	0	0	0
Nemotron-3.5-Lightning-30B-A3B-Heretic-Uncensored-srcQ6_K-nvfp4	qkv	6	6	0	0	0	0
Nemotron-3.5-Lightning-30B-A3B-Heretic-Uncensored-srcQ6_K-nvfp4	gate_up	0	0	0	0	0	0
Nemotron-3.5-Lightning-30B-A3B-srcexl3_6bpw-nvfp4	qkv	6	6	0	0	0	0
Nemotron-3.5-Lightning-30B-A3B-srcexl3_6bpw-nvfp4	gate_up	0	0	0	0	0	0
Nemotron-Cascade-2-30B-A3B-heretic-ara-srcQ5_K_M-nvfp4	qkv	6	6	0	0	0	0
Nemotron-Cascade-2-30B-A3B-heretic-ara-srcQ5_K_M-nvfp4	gate_up	0	0	0	0	0	0
Nemotron-Lightning-30B-nvfp4	qkv	6	6	0	0	0	0
Nemotron-Lightning-30B-nvfp4	gate_up	0	0	0	0	0	0
Nemotron-Nano-9B-int8	qkv	4	2	0	2	0	0
Nemotron-Nano-9B-int8	gate_up	0	0	0	0	0	0
