budget	regime	invite	latence_prefill_ms	passes_prefill	jetons_voisines	jetons_s_voisines	joules	jetons_par_kJ	watts	temp_max	bridages	invalidations
0	seule	64	8192	823.9	1	0	0.00	261.1	0.0	256	51	puissance	bridage pendant la fenêtre : puissance
2048	seule	64	8192	1339.8	4	0	0.00	387.0	0.0	273	49	puissance	bridage pendant la fenêtre : puissance
2048	seule	64	8192	1337.1	4	0	0.00	400.4	0.0	282	50	puissance	bridage pendant la fenêtre : puissance
0	seule	64	8192	823.5	1	0	0.00	268.2	0.0	262	51	puissance	bridage pendant la fenêtre : puissance
0	seule	64	8192	821.9	1	0	0.00	258.0	0.0	253	52	puissance	bridage pendant la fenêtre : puissance
4096	seule	64	8192	1119.6	2	0	0.00	335.5	0.0	278	50	puissance	bridage pendant la fenêtre : puissance
4096	seule	64	8192	1118.2	2	0	0.00	338.7	0.0	278	50	puissance	bridage pendant la fenêtre : puissance
0	seule	64	8192	821.4	1	0	0.00	258.3	0.0	253	51	puissance	bridage pendant la fenêtre : puissance
0	seule	64	8192	824.0	1	0	0.00	271.5	0.0	266	50	puissance	bridage pendant la fenêtre : puissance
8192	seule	64	8192	823.0	1	0	0.00	260.1	0.0	254	50	puissance	bridage pendant la fenêtre : puissance
8192	seule	64	8192	824.2	1	0	0.00	262.0	0.0	257	48	puissance	bridage pendant la fenêtre : puissance
0	seule	64	8192	828.1	1	0	0.00	261.3	0.0	256	50	puissance	bridage pendant la fenêtre : puissance
0	charge	64	8192	678.5	1	12	17.69	274.5	43.7	339	51	puissance	bridage pendant la fenêtre : puissance
2048	charge	64	8192	1239.3	4	48	38.73	424.5	113.1	301	50	puissance	bridage pendant la fenêtre : puissance
2048	charge	64	8192	1238.1	4	48	38.77	429.9	111.7	305	51	puissance	bridage pendant la fenêtre : puissance
0	charge	64	8192	678.3	1	12	17.69	273.2	43.9	337	53	puissance	bridage pendant la fenêtre : puissance
0	charge	64	8192	679.0	1	12	17.67	273.0	44.0	337	51	puissance	bridage pendant la fenêtre : puissance
4096	charge	64	8192	979.8	2	24	24.49	343.2	69.9	340	51	puissance	bridage pendant la fenêtre : puissance
4096	charge	64	8192	980.3	2	24	24.48	341.9	70.2	339	50	puissance	bridage pendant la fenêtre : puissance
0	charge	64	8192	678.9	1	12	17.67	269.6	44.5	333	52	puissance	bridage pendant la fenêtre : puissance
0	charge	64	8192	678.6	1	12	17.68	258.4	46.4	319	51	puissance	bridage pendant la fenêtre : puissance
8192	charge	64	8192	662.7	1	12	18.11	272.3	44.1	337	51	puissance	bridage pendant la fenêtre : puissance
8192	charge	64	8192	663.5	1	12	18.09	263.9	45.5	326	51	puissance	bridage pendant la fenêtre : puissance
0	charge	64	8192	678.7	1	12	17.68	293.0	41.0	361	50	puissance	bridage pendant la fenêtre : puissance
