modele	snr_floor	tenseurs	promus	candidats	plafond	sature
AWAXIS-Think-31B-nvfp4	0.0	832	0	0	124.95	non
AgentWorld-35B-A3B-Heretic-srcQ4_K_M-nvfp4	0.0	31333	0	0	4700.1	non
Agents-4B-kimi-bf16	25.0	426	0	0	64.05	non
Agents-A1-4B-kimi-nvfp4	25.0	426	64	248	64.05	oui
Agents-A1-4B-kimi-temoin-nvfp4	25.0	426	64	248	64.05	oui
Cydonia-24B-srcexl3-nvfp4	25.0	363	55	281	54.6	oui
Cydonia-Magnum-Diamond-24B-srcEXL3_6_0bpw-nvfp4	0.0	363	0	0	54.6	non
DeepSeek-Coder-V2-Lite-Instruct-nvfp4	0.0	5318	0	0	797.85	non
DeepSeek-R1-Distill-Llama-70B-heretic-srci1_Q4_K_M-nvfp4	0.0	723	0	0	108.6	non
DeepSeek-R1-Distill-Qwen-32B-srcQ4_K_M-nvfp4	0.0	771	0	0	115.8	non
Dolphin-Mistral-GLM47-24B-Venice-srcQ5_K_M-nvfp4	0.0	363	0	0	54.6	non
Falcon-H1R-7B-int8	25.0	751	113	397	112.8	oui
G4-MeroMero-31B-uncensored-heretic-srcexl3_6_00bpw-nvfp4	25.0	1189	179	600	178.5	oui
GLM-4.7-Flash-nvfp4	0.0	9538	0	0	1430.85	non
GLM-4.7-Grande-Heretic-42B-srcQ4_K_M-nvfp4	0.0	13471	0	0	2020.8	non
Gemma-4-Gembrain-31B-uncensored-heretic-srcEXL3_6_0bpw-nvfp4	25.0	1189	179	600	178.5	oui
Hermes-4-70B-heretic-srci1_Q4_K_M-nvfp4	0.0	723	0	0	108.6	non
Huihui-Nex-N2-mini-abliterated-srcQ4_K_M-nvfp4	0.0	31333	0	0	4700.1	non
Huihui-Qwen3.6-35B-A3B-Opus-abl-srcQ4_K_M-nvfp4	0.0	31333	0	0	4700.1	non
Huihui-Qwen3.6-35B-A3B-abliterated-srcQ4_K_M-nvfp4	0.0	31333	0	0	4700.1	non
Huihui-Qwen3.8-27B-abliterated-srcQ5_K-nvfp4	0.0	866	0	0	130.05	non
Jan-code-4b-srcQ4_K_M-nvfp4	25.0	399	60	253	60.0	oui
Jan-v2-VL-high-srcQ4_K_M-nvfp4	25.0	399	60	253	60.0	oui
Jan-v2-VL-max-srcQ4_K_M-nvfp4	0.0	18867	0	0	2830.2	non
Jan-v2-VL-med-srcQ4_K_M-nvfp4	0.0	399	0	0	60.0	non
Jan-v3-4b-base-instruct-srcQ4_K_M-nvfp4	25.0	399	60	253	60.0	oui
Jan-v3.5-4B-srcQ4_K_M-nvfp4	25.0	399	60	253	60.0	oui
KAT-Coder-V2.5-Dev-srcQ4_K_M-nvfp4	0.0	31333	0	0	4700.1	non
Kimi-Linear-35B-kda-nvfp4	25.0	14572	271	14323	2185.95	non
LFM2.5-8B-A1B-nvfp4	25.0	2280	56	2178	342.15	non
Llama-3.3-70B-Instruct-heretic-srci1_Q4_K_M-nvfp4	0.0	723	0	0	108.6	non
Mistral-Nemo-12B-Heretic-nvfp4	0.0	363	0	0	54.6	non
NVIDIA-Nemotron-3-Nano-30B-A3B-heretic-srcQ5_K_M-nvfp4	0.0	6220	0	0	933.15	non
Nemo-12B-Claude-nvfp4	25.0	363	55	270	54.6	oui
Nemotron-3.5-Lightning-30B-A3B-Heretic-Uncensored-srcQ6_K-nvfp4	0.0	6220	0	0	933.15	non
Nemotron-3.5-Lightning-30B-A3B-srcexl3_6bpw-nvfp4	0.0	6243	0	0	936.6	non
