ancien	nouveau
AWAXIS-Think-31B	AWAXIS-Think-31B-nvfp4
AgentWorld-35B-A3B-Heretic-Q4_K_M	AgentWorld-35B-A3B-Heretic-srcQ4_K_M-nvfp4
Agents-A1-4B-kimi	Agents-A1-4B-kimi-nvfp4
Cydonia-24B-exl3	Cydonia-24B-srcexl3-nvfp4
Cydonia-Magnum-Diamond-24B-EXL3-6.0bpw	Cydonia-Magnum-Diamond-24B-srcEXL3_6_0bpw-nvfp4
DeepSeek-Coder-V2-Lite-Instruct	DeepSeek-Coder-V2-Lite-Instruct-nvfp4
DeepSeek-R1-Distill-Llama-70B-heretic.i1-Q4_K_M	DeepSeek-R1-Distill-Llama-70B-heretic-srci1_Q4_K_M-nvfp4
DeepSeek-R1-Distill-Qwen-32B-Q4_K_M	DeepSeek-R1-Distill-Qwen-32B-srcQ4_K_M-nvfp4
Dolphin-Mistral-GLM47-24B-Venice-Q5_K_M	Dolphin-Mistral-GLM47-24B-Venice-srcQ5_K_M-nvfp4
Falcon-H1R-7B	Falcon-H1R-7B-int8
G4-MeroMero-31B-uncensored-heretic-exl3-6.00bpw	G4-MeroMero-31B-uncensored-heretic-srcexl3_6_00bpw-nvfp4
GLM-4.7-Flash	GLM-4.7-Flash-nvfp4
GLM-4.7-Grande-Heretic-42B-Q4_K_M	GLM-4.7-Grande-Heretic-42B-srcQ4_K_M-nvfp4
Gemma-4-Gembrain-31B-uncensored-heretic-EXL3-6.0bpw	Gemma-4-Gembrain-31B-uncensored-heretic-srcEXL3_6_0bpw-nvfp4
Hermes-4-70B-heretic.i1-Q4_K_M	Hermes-4-70B-heretic-srci1_Q4_K_M-nvfp4
Huihui-Nex-N2-mini-abliterated-Q4_K_M	Huihui-Nex-N2-mini-abliterated-srcQ4_K_M-nvfp4
Huihui-Qwen3.6-35B-A3B-Opus-abl-Q4_K_M	Huihui-Qwen3.6-35B-A3B-Opus-abl-srcQ4_K_M-nvfp4
Huihui-Qwen3.6-35B-A3B-abliterated-Q4_K_M	Huihui-Qwen3.6-35B-A3B-abliterated-srcQ4_K_M-nvfp4
Huihui-Qwen3.8-27B-abliterated-Q5_K	Huihui-Qwen3.8-27B-abliterated-srcQ5_K-nvfp4
Jan-code-4b-Q4_K_M	Jan-code-4b-srcQ4_K_M-nvfp4
Jan-v2-VL-high-Q4_K_M	Jan-v2-VL-high-srcQ4_K_M-nvfp4
Jan-v2-VL-max-Q4_K_M	Jan-v2-VL-max-srcQ4_K_M-nvfp4
Jan-v2-VL-med-Q4_K_M	Jan-v2-VL-med-srcQ4_K_M-nvfp4
Jan-v3-4b-base-instruct-Q4_K_M	Jan-v3-4b-base-instruct-srcQ4_K_M-nvfp4
Jan-v3.5-4B-Q4_K_M	Jan-v3.5-4B-srcQ4_K_M-nvfp4
KAT-Coder-V2.5-Dev-Q4_K_M	KAT-Coder-V2.5-Dev-srcQ4_K_M-nvfp4
Kimi-Linear-35B-kda	Kimi-Linear-35B-kda-nvfp4
LFM2.5-8B-A1B	LFM2.5-8B-A1B-nvfp4
Llama-3.3-70B-Instruct-heretic.i1-Q4_K_M	Llama-3.3-70B-Instruct-heretic-srci1_Q4_K_M-nvfp4
Mistral-Nemo-12B-Heretic	Mistral-Nemo-12B-Heretic-nvfp4
NVIDIA-Nemotron-3-Nano-30B-A3B-heretic-Q5_K_M	NVIDIA-Nemotron-3-Nano-30B-A3B-heretic-srcQ5_K_M-nvfp4
Nemo-12B-Claude	Nemo-12B-Claude-nvfp4
Nemotron-3.5-Lightning-30B-A3B-Heretic-Uncensored-Q6_K	Nemotron-3.5-Lightning-30B-A3B-Heretic-Uncensored-srcQ6_K-nvfp4
Nemotron-3.5-Lightning-30B-A3B-exl3-6bpw	Nemotron-3.5-Lightning-30B-A3B-srcexl3_6bpw-nvfp4
Nemotron-Cascade-2-30B-A3B-heretic-ara-Q5_K_M	Nemotron-Cascade-2-30B-A3B-heretic-ara-srcQ5_K_M-nvfp4
Nemotron-Lightning-30B	Nemotron-Lightning-30B-nvfp4
Nemotron-Nano-9B	Nemotron-Nano-9B-int8
Ornith-1.0-35B-kimi	Ornith-1.0-35B-kimi-nvfp4
Ornith-1.5-35B-A3B-Heretic-APEX-I-Quality	Ornith-1.5-35B-A3B-Heretic-APEX-I-Quality-nvfp4
Qwen-3.8-27B-Heretic-i1-Q5_K_M	Qwen-3.8-27B-Heretic-srci1_Q5_K_M-nvfp4
Qwen2.5-Coder-14B-bf16-pur	Qwen2.5-Coder-14B-pur-bf16
Qwen2.5-Coder-3B	Qwen2.5-Coder-3B-nvfp4
Qwen2.5-Coder-7B	Qwen2.5-Coder-7B-nvfp4
Qwen3-0.6B-gguf	Qwen3-0.6B-srcgguf-bf16
Qwen3-14B	Qwen3-14B-nvfp4
Qwen3-30B-A3B-Thinking-2507-AWQ	Qwen3-30B-A3B-Thinking-2507-srcAWQ-nvfp4
Qwen3-30B-A3B-abliterated-erotic-AWQ	Qwen3-30B-A3B-abliterated-erotic-srcAWQ-nvfp4
Qwen3-4B-gguf	Qwen3-4B-srcgguf-nvfp4
Qwen3-Coder-30B-A3B	Qwen3-Coder-30B-A3B-nvfp4
Qwen3-Coder-30B-A3B-4.0bpw-EXL3	Qwen3-Coder-30B-A3B-src4_0bpw_EXL3-nvfp4
Qwen3-Coder-30B-A3B-Instruct-Q4_K_M	Qwen3-Coder-30B-A3B-Instruct-srcQ4_K_M-nvfp4
Qwen3-Coder-30B-abliterated-EXL3-5.0bpw	Qwen3-Coder-30B-abliterated-srcEXL3_5_0bpw-nvfp4
Qwen3-VL-2B-texte	Qwen3-VL-2B-texte-bf16
Qwen3-VL-30B-A3B-abliterated-AWQ	Qwen3-VL-30B-A3B-abliterated-srcAWQ-nvfp4
Qwen3-VL-32B-Instruct-heretic-v2-GGUF	Qwen3-VL-32B-Instruct-heretic-v2-srcGGUF-nvfp4
Qwen3.5-35B-A3B-Q4_K_M	Qwen3.5-35B-A3B-srcQ4_K_M-nvfp4
Qwen3.5-4B-NSFW-Heretic-Literotica-Q6_K	Qwen3.5-4B-NSFW-Heretic-Literotica-srcQ6_K-nvfp4
Qwen3.5-4B-heretic-exl3	Qwen3.5-4B-heretic-srcexl3-nvfp4
Qwen3.5-9B-Uncensored-HauhauCS-Aggressive-Q4_K_M	Qwen3.5-9B-Uncensored-HauhauCS-Aggressive-srcQ4_K_M-nvfp4
Qwen3.6-12B-IQ-Q5_K_M	Qwen3.6-12B-IQ-srcQ5_K_M-nvfp4
Qwen3.6-27B-Fable-Fusion-711-Heretic-MTP-Q5_K_M	Qwen3.6-27B-Fable-Fusion-711-Heretic-MTP-srcQ5_K_M-nvfp4
Qwen3.6-27B-Fable-Fusion-711-Heretic-Q5_K_M	Qwen3.6-27B-Fable-Fusion-711-Heretic-srcQ5_K_M-nvfp4
Qwen3.6-27B-Fable-Fusion-Uncensored-Heretic-EXL3-4.15bpw	Qwen3.6-27B-Fable-Fusion-Uncensored-Heretic-srcEXL3_4_15bpw-nvfp4
Qwen3.6-27B-Heretic-GLM52-Q5	Qwen3.6-27B-Heretic-GLM52-Q5-nvfp4
